id,pillar,severity,area,title,file_path,line,evidence,recommendation,section_owner,status
BE-SEC-001,Security,P0,backend/auth,Broken RLS context manager,backend/app/auth/dependencies.py,225-231,`with user_context_db(...)` exits BEFORE session is yielded; SET LOCAL is per-transaction so context is lost,Restructure as async generator yielding inside the with block; add cross-user leak test,E,closed
BE-SEC-002,Security,P0,backend/auth,Dev mock token bypass,backend/app/auth/dependencies.py,74-101,Tokens prefixed `dev-mock-token-` granted full access if ENVIRONMENT=='development',Gate on ENVIRONMENT AND DEBUG AND ENABLE_ADMIN_BYPASS; default ENABLE_ADMIN_BYPASS to false,E,closed
BE-SEC-003,Security,P0,backend/services,Encryption fail-soft returns plaintext,backend/app/services/encryption_service.py,36-55,Both encrypt() and decrypt() catch errors and return input unmodified; Plaid access tokens silently stored as plaintext,Hard-fail on encryption error; switch key derivation to HKDF with salt,E,closed
BE-SEC-004,Security,P1,backend/config,Live secrets in committed .env.example,.env.example,12;20;40-42,SECRET_KEY hardcoded; SUPABASE_ANON_KEY JWT; PLAID creds,Replace with placeholder strings and rotate real keys,E,closed
BE-SEC-005,Security,P1,backend/config,Insecure defaults,.env.example,47-49,ENABLE_ADMIN_BYPASS=true CSRF_PROTECTION=false RATE_LIMITING=false,Flip all three defaults; assert in validate_required_settings,E,closed
BE-SEC-006,Security,P1,backend/auth,Plaid webhook verify references undefined PLAID_BASE_URL,backend/app/auth/dependencies.py,307,settings.PLAID_BASE_URL not defined in config.py,Add PLAID_BASE_URL to Settings; add Plaid webhook contract test,E,closed
BE-SEC-007,Security,P1,backend/routes,Admin WS endpoints lack admin guard,backend/app/routes/websockets.py,166-253,/ws/stats /ws/test-message /ws/broadcast require only get_current_user_from_token,Add is_admin dependency,E,closed
BE-SEC-008,Security,P1,backend/auth,Sync Supabase HTTP call inside async,backend/app/auth/auth_service.py,153,supabase.client.auth.get_user(token) blocks event loop,Wrap with run_in_executor or use Supabase async client,A,closed
BE-SEC-009,Security,P2,backend/routes,Unbounded /transactions/export DoS risk,backend/app/routes/transactions.py,118-120,No row cap or rate limit on date range,Cap rows; require streaming response; rate limit,E,closed
BE-PR-001,Production-readiness,P0,backend/main,Bypass Alembic via create_all at startup,backend/app/main.py,66,Base.metadata.create_all(bind=engine) bypasses migrations,Remove create_all; add CI step asserting alembic upgrade matches metadata,D,closed
BE-PR-002,Production-readiness,P1,backend/migrations,Single Alembic revision; schema drift,backend/migrations/versions/0ebba5935295_initial_schema.py,1,No subsequent migrations despite model evolution,Generate migrations to head; pin alembic check in CI,D,closed
BE-PR-003,Production-readiness,P1,backend,Duplicate seed_data,backend/app/seed_data.py;backend/app/scripts/seed_data.py,—,Two implementations of the same seed,Pick one; delete the other,D,closed
BE-PR-004,Production-readiness,P1,backend,Duplicate database modules,backend/app/database.py;backend/app/database_manager.py,—,Two coexisting abstractions,Pick canonical; delete other,D,closed
BE-PR-005,Production-readiness,P1,backend/main,uvicorn log_level int.lower() bug,backend/app/main.py,548-556,logging.INFO is int; .lower() raises AttributeError,Use string literal,D,closed
BE-PR-006,Production-readiness,P2,backend/seed,Seed TOCTOU race with multi-worker,backend/app/scripts/seed_data.py,82-103,count==0 then insert pattern races,Use INSERT...ON CONFLICT or advisory lock,E,closed
BE-PERF-001,Performance,P0,backend/routes,Async route blocked on Celery .get(),backend/app/routes/ml.py,60,result_async.get(timeout=30) inside async handler,Submit task and return 202; expose result via WS or polling,A,closed
BE-PERF-002,Performance,P1,backend/database,Sync psycopg2 under FastAPI async,backend/app/database.py,21-32,Every DB call blocks event loop,Evaluate asyncpg + SQLAlchemy 2 async; or move DB to executor,A,open
BE-PERF-003,Performance,P1,backend/models,Missing GIN index on transactions.tags,backend/app/models/transaction.py,69-77,ARRAY column; tag filtering full scans,Add GIN index migration,A,closed
BE-PERF-004,Performance,P1,backend/models,Missing composite index (user_id status transaction_date),backend/app/models/transaction.py,69-77,Pending-status filter unindexed,Add migration with composite index,A,closed
BE-PERF-005,Performance,P1,backend/routes,Dashboard sequential count queries,backend/app/routes/dashboard.py,65-100,Multiple count() per request without parallelization,Cache + asyncio.gather + aggregate query,A,closed
BE-PERF-006,Performance,P2,backend/redis_client,Per-call connection open/close in Redis helpers,backend/app/core/redis_client.py,67-68;149-163,Each publish/cache opens new conn,Reuse long-lived connection from pool,A,closed
BE-PERF-007,Performance,P2,backend/websocket,Subscriber busy-poll with 10ms sleep,backend/app/websocket/manager.py,281-313,Busy-loop CPU usage,Use asyncio.Queue or pubsub.listen(),A,closed
BE-PERF-008,Performance,P2,backend/services,func.abs(amount_cents) without functional index,backend/app/services/transaction_service.py,293;298,Slow on large tables,Add functional index or alternative filter,A,closed
BE-LOG-001,Logging,P1,backend/main,request_id never set on request.state,backend/app/main.py,155,Generated then thrown away; downstream falls back to header,Set request.state.request_id; structlog binding,C,closed
BE-LOG-002,Logging,P1,backend,No structured logs,backend/app/main.py,33-40,logging.basicConfig only; no JSON,Adopt structlog; JSON formatter,C,closed
